,protocol,proxy
28,47.243.91.156:3128,HTTP
29,103.231.78.36:80,HTTP
30,46.101.126.180:36677,HTTP
31,12.69.91.227:80,HTTP
32,103.144.48.114:80,HTTP
33,183.239.61.204:9091,HTTP
34,103.115.252.18:80,HTTP
35,223.84.240.36:9091,HTTP
36,143.244.133.78:80,HTTP
37,103.122.64.234:3125,HTTPS
38,47.91.44.217:8000,HTTP
39,218.238.83.182:80,HTTP
40,201.174.239.18:8080,HTTP
41,140.227.61.156:23456,HTTPS
42,50.225.10.238:80,HTTP
43,195.158.18.236:3128,HTTP
44,34.87.84.105:80,HTTP
45,49.207.36.81:80,HTTP
46,204.199.174.74:999,HTTPS
47,190.97.225.41:999,HTTPS
48,154.83.29.204:999,HTTPS
49,43.229.50.123:9480,HTTP
0,41.65.236.56:1981,HTTP
1,200.7.10.158:8080,HTTP
2,39.106.226.189:22,HTTP
3,94.56.27.42:3128,HTTP
4,183.250.163.175:9091,HTTP
5,50.225.10.232:80,HTTP
6,193.138.178.6:8282,HTTP
7,218.28.98.229:9091,HTTP
8,103.145.76.44:80,HTTP
9,103.117.192.174:80,HTTP
10,211.142.96.250:9091,HTTP
11,120.196.188.21:9091,HTTP
12,103.169.186.147:3125,HTTP
13,117.141.91.123:9091,HTTP
14,103.11.216.199:9812,HTTP
15,170.83.242.250:999,HTTP
16,20.84.57.125:3128,HTTP
17,161.117.89.36:8888,HTTP
18,50.233.42.98:51696,HTTP
19,103.169.7.65:6666,HTTP
20,41.65.0.222:1976,HTTP
21,201.71.2.41:999,HTTPS
22,104.248.238.38:8888,HTTP
23,151.252.112.7:8080,HTTPS
24,117.158.173.216:9091,HTTP
25,52.188.106.163:3128,HTTP
26,61.78.63.200:30000,HTTP
27,118.140.160.84:80,HTTP
28,112.250.110.172:9091,HTTP
29,103.48.68.36:84,HTTP
30,183.89.8.70:8080,HTTP
31,103.197.251.202:80,HTTP
32,218.76.35.18:10006,HTTP
33,120.194.120.30:9091,HTTP
34,67.212.186.100:80,HTTP
35,186.65.107.26:666,HTTPS
36,67.212.186.99:80,HTTP
37,124.131.219.94:9091,HTTP
38,45.114.118.81:3128,HTTPS
39,223.112.174.62:9091,HTTP
40,41.65.236.58:1976,HTTP
41,51.91.157.66:80,HTTP
42,191.101.58.7:999,HTTPS
43,204.199.174.72:999,HTTPS
44,119.7.135.19:9091,HTTP
45,125.99.58.110:3128,HTTP
46,182.151.27.241:30003,HTTPS
47,58.20.184.187:9091,HTTP
48,141.147.95.36:3128,HTTP
49,20.81.62.32:3128,HTTPS
0,182.90.224.115:3128,HTTP
1,118.140.160.85:80,HTTP
2,23.236.109.50:80,HTTP
3,103.149.162.195:80,HTTP
4,182.92.78.205:22,HTTP
5,160.16.209.7:3128,HTTP
6,47.242.52.247:3128,HTTPS
7,218.253.141.178:8080,HTTP
8,140.227.80.237:3180,HTTPS
9,197.243.14.90:8888,HTTP
10,204.199.174.68:999,HTTPS
11,34.110.251.255:80,HTTP
12,89.223.8.10:3128,HTTPS
13,5.161.105.105:80,HTTPS
14,111.42.175.236:9091,HTTP
15,47.57.188.208:80,HTTP
16,103.153.246.102:3125,HTTPS
17,103.60.161.2:80,HTTP
18,154.236.189.19:1981,HTTP
19,139.99.237.62:80,HTTP
20,120.50.19.84:8080,HTTPS
21,113.194.103.134:9091,HTTP
22,188.0.147.102:3128,HTTPS
23,103.20.235.145:59394,HTTPS
24,203.150.128.187:8080,HTTPS
25,41.65.163.84:1976,HTTP
26,79.120.177.106:8080,HTTPS
27,181.176.211.168:8080,HTTP
28,154.83.29.203:999,HTTP
29,50.225.10.234:80,HTTP
30,201.91.18.85:8000,HTTP
31,43.255.113.232:84,HTTP
32,140.227.211.47:8080,HTTPS
33,43.255.113.232:82,HTTP
34,113.123.0.89:8888,HTTP
35,83.168.85.9:8090,HTTP
36,111.225.153.107:8089,HTTPS
37,43.255.113.232:8080,HTTP
38,154.83.29.206:999,HTTPS
39,47.48.73.206:3129,HTTP
40,159.138.158.36:8888,HTTP
41,182.92.217.123:22,HTTPS
42,154.83.29.200:999,HTTP
43,168.90.252.24:999,HTTP
44,194.233.88.38:3128,HTTPS
45,223.85.12.16:2222,HTTP
46,89.38.96.219:3128,HTTPS
47,140.227.69.124:3180,HTTPS
48,221.193.240.115:9091,HTTP
